words,number_of_letters,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp_2.started,ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text_2.started,text.started,key_resp.started,fixation.stopped,text_2.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,0.002654,0.0064235,0.0064235,1.0255454,space,1.0073356,None,,,,,,,,,,,,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
pofitical,9,left,0,0,0,left,0.8330711,None,0,0,0,65,1.0446326,,,,,,,,,1.0393441,1.0446326,1.0446326,2.0367283,2.0367283,2.0535877,2.0535877,2.8720076,left,0.8330711,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
sistem,6,left,1,1,0,left,0.8111408,None,0,1,1,39,2.8869228,,,,,,,,,2.8755697,2.8869228,2.8869228,3.8871559,3.8871559,3.8871559,3.8871559,4.7047698,left,0.8111408,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
rememper,8,left,2,2,0,left,0.7527116,None,0,2,2,53,4.7203335,,,,,,,,,4.7075006,4.7203335,4.7203335,5.7200649,5.7200649,5.7200649,5.7200649,6.4881648,left,0.7527116,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
program,7,right,3,3,0,left,0.9511812,None,0,3,3,40,6.5038259,,,,,,,,,6.4905186,6.5038259,6.5038259,7.5033455,7.5033455,7.5033455,7.5033455,8.4713823,left,0.9511812,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
anf,3,left,4,4,0,left,0.8982734,None,0,4,4,3,8.4865906,,,,,,,,,8.4731674,8.4865906,8.4865906,9.4867013,9.4867013,9.4867013,9.4867013,10.3889041,left,0.8982734,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
important,9,right,5,5,0,right,1.024123,None,0,5,5,62,10.4036657,,,,,,,,,10.3953351,10.4036657,10.4036657,11.4033809,11.4033809,11.4033809,11.4033809,12.4375427,right,1.024123,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
tochnology,10,left,6,6,0,left,1.4976141,None,0,6,6,77,12.4535613,,,,,,,,,12.4396236,12.4535613,12.4535613,13.43666,13.43666,13.4534699,13.4534699,14.9376957,left,1.4976141,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
woy,3,left,7,7,0,left,0.5169473,None,0,7,7,1,14.9535025,,,,,,,,,14.939378,14.9535025,14.9535025,15.9530077,15.9530077,15.9530077,15.9530077,16.4718317,left,0.5169473,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
ous,3,left,8,8,0,left,0.5612916,None,0,8,8,9,16.4861684,,,,,,,,,16.4741548,16.4861684,16.4861684,17.4865079,17.4865079,17.4865079,17.4865079,18.0545852,left,0.5612916,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
compunity,9,left,9,9,0,left,1.2142737,None,0,9,9,67,18.0700355,,,,,,,,,18.0602752,18.0700355,18.0700355,19.0698703,19.0698703,19.0698703,19.0698703,20.2881604,left,1.2142737,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
incluting,9,left,10,10,0,left,0.7710309,None,0,10,10,69,20.3031785,,,,,,,,,20.2911107,20.3031785,20.3031785,21.3031357,21.3031357,21.3031357,21.3031357,22.0874584,left,0.7710309,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
everything,10,right,11,11,0,right,0.6114377,None,0,11,11,70,22.1027277,,,,,,,,,22.0926987,22.1027277,22.1027277,23.1026692,23.1026692,23.1026692,23.1026692,23.7203936,right,0.6114377,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
become,6,right,12,12,0,right,0.678905,None,0,12,12,32,23.735796,,,,,,,,,23.7229603,23.735796,23.735796,24.7357993,24.7357993,24.7357993,24.7357993,25.4209221,right,0.678905,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
could,5,right,13,13,0,right,0.6345949,None,0,13,13,28,25.4358531,,,,,,,,,25.4229808,25.4358531,25.4358531,26.43606,26.43606,26.43606,26.43606,27.0875845,right,0.6345949,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
much,4,right,14,14,0,right,0.7103173,None,0,14,14,12,27.1027109,,,,,,,,,27.0918237,27.1027109,27.1027109,28.1028782,28.1028782,28.1028782,28.1028782,28.8210936,right,0.7103173,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
aboot,5,left,15,15,0,left,1.5415233,None,0,15,15,23,28.8360975,,,,,,,,,28.8240963,28.8360975,28.8360975,29.8357236,29.8357236,29.8357236,29.8357236,31.38705,left,1.5415233,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
company,7,right,16,16,0,right,1.2182467,None,0,16,16,46,31.4026215,,,,,,,,,31.3898732,31.4026215,31.4026215,32.40262,32.40262,32.40262,32.40262,33.6370002,right,1.2182467,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
line,4,right,17,17,0,right,0.7923762,None,0,17,17,18,33.6525273,,,,,,,,,33.6388561,33.6525273,33.6525273,34.6525682,34.6525682,34.6525682,34.6525682,35.4536938,right,0.7923762,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
and,3,right,18,18,0,right,0.6742934,None,0,18,18,2,35.469145,,,,,,,,,35.4556179,35.469145,35.469145,36.4692045,36.4692045,36.4692045,36.4692045,37.15358,right,0.6742934,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
including,9,right,19,19,0,right,0.8709789,None,0,19,19,68,37.1690966,,,,,,,,,37.155658,37.1690966,37.1690966,38.1691534,38.1691534,38.1691534,38.1691534,39.0530105,right,0.8709789,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
country,7,right,20,20,0,right,0.9798355,None,0,20,20,42,39.0686201,,,,,,,,,39.0555105,39.0686201,39.0686201,40.0690082,40.0690082,40.0690082,40.0690082,41.0533724,right,0.9798355,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
question,8,right,21,21,0,right,0.7856848,None,0,21,21,54,41.0691295,,,,,,,,,41.05594,41.0691295,41.0691295,42.0687258,42.0687258,42.0687258,42.0687258,42.8696825,right,0.7856848,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
play,4,right,22,22,0,right,0.6638111,None,0,22,22,14,42.8851276,,,,,,,,,42.8723071,42.8851276,42.8851276,43.885202,43.885202,43.885202,43.885202,44.5534027,right,0.6638111,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
secade,6,left,23,23,0,left,0.6720693,None,0,23,23,37,44.568648,,,,,,,,,44.557055,44.568648,44.568648,45.5684923,45.5684923,45.5684923,45.5684923,46.2534304,left,0.6720693,None,,,,,62637,1,2024-12-04_16h37.49.828,soloprojectlexical,2024.2.1post4,59.99433654,2024-12-04 16h37.57.198795 +0530
