stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03338139993138611,,0.016498399898409843,0.03338139993138611,0.5351399998180568,0.5351399998180568,0.551562299951911,0.8357467998284847,1.0111361998133361,left,-10.0,0,0,0.4560335997957736,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
1,1,12.0,1.0334437999408692,,1.0116073999088258,1.0334437999408692,1.519083600025624,1.519083600025624,1.5359141998924315,,1.7380566999781877,left,-12.0,1,1,None,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
2,1,11.0,1.75224499986507,,1.7383528999052942,1.75224499986507,2.252618100028485,2.252618100028485,2.252618100028485,2.5518500998150557,2.688387099886313,right,11.0,1,1,0.4179487999062985,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
3,1,11.0,2.702903499826789,,2.688676099991426,2.702903499826789,3.201918999897316,3.201918999897316,3.218574599828571,3.5024904999881983,3.538476299960166,left,-11.0,0,0,0.32390710012987256,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
4,1,12.0,3.552927799988538,,3.5388211000245064,3.552927799988538,4.052100699860603,4.052100699860603,4.052100699860603,,4.30722129996866,right,12.0,1,1,0.24808990000747144,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
5,1,12.0,4.319002199918032,,4.307570099830627,4.319002199918032,4.818522499874234,4.818522499874234,4.818522499874234,,5.070619500009343,left,-12.0,0,0,0.23353579989634454,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
6,1,13.0,5.0850459998473525,,5.070956799900159,5.0850459998473525,5.5853325999341905,5.5853325999341905,5.5853325999341905,,5.720931499963626,left,-13.0,0,0,0.12578859995119274,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
7,1,14.0,5.735434700036421,,5.721329899970442,5.735434700036421,6.235596499871463,6.235596499871463,6.235596499871463,6.5356290999334306,6.520894599845633,right,14.0,1,1,0.2764914999715984,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
8,1,14.0,6.5356290999334306,,6.521193600026891,6.5356290999334306,7.035241500008851,7.035241500008851,7.035241500008851,,7.237251099897549,left,-14.0,0,0,0.18879069993272424,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
9,1,15.0,7.251747000031173,,7.237580199958757,7.251747000031173,7.751955499872565,7.751955499872565,7.751955499872565,,7.920977799920365,left,-15.0,0,0,0.15262209996581078,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
