12.3689 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
12.5858 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD9511E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD952470>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950040>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000232BB060280>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 240.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.5858 	EXP 	window1: backgroundImage = ''
12.5858 	EXP 	window1: backgroundFit = 'none'
12.5860 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.5861 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.5891 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.5896 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.6128 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.6129 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.6134 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.6139 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000232BD950EB0>
12.6311 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.6312 	EXP 	window1: recordFrameIntervals = False
12.8045 	EXP 	window1: recordFrameIntervals = True
12.9872 	EXP 	Screen (0) actual frame rate measured at 59.55Hz
12.9872 	EXP 	window1: recordFrameIntervals = False
12.9873 	EXP 	window1: mouseVisible = True
13.0388 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
15.5610 	INFO 	keyboard.Keyboard is using iohub backend.
15.5610 	INFO 	keyboard.Keyboard is using iohub backend.
15.5610 	EXP 	Adaptive staircase: status = STARTED
15.5612 	EXP 	window1: mouseVisible = True
15.5646 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
15.5648 	EXP 	window1: mouseVisible = True
15.5676 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0163 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0334 	EXP 	grating: ori = -10.0
0.0334 	EXP 	fixation: autoDraw = True
0.5360 	INFO 	Keyboard events cleared
0.5351 	EXP 	grating: autoDraw = True
0.5351 	EXP 	grating: tex = 'sin'
0.5516 	EXP 	fixation: autoDraw = False
0.8357 	EXP 	grating: autoDraw = False
1.0151 	DATA 	Keypress: right
1.0334 	EXP 	fixation: autoDraw = False
1.0334 	EXP 	grating: autoDraw = False
1.0334 	EXP 	grating: ori = -12.0
1.0334 	EXP 	fixation: autoDraw = True
1.5201 	INFO 	Keyboard events cleared
1.5191 	EXP 	grating: autoDraw = True
1.5238 	DATA 	Keypress: left
1.5359 	EXP 	fixation: autoDraw = False
1.7522 	EXP 	fixation: autoDraw = False
1.7522 	EXP 	grating: autoDraw = False
1.7522 	EXP 	grating: ori = 11.0
1.7522 	EXP 	fixation: autoDraw = True
2.1548 	DATA 	Keypress: left
2.2536 	INFO 	Keyboard events cleared
2.2526 	EXP 	fixation: autoDraw = False
2.2526 	EXP 	grating: autoDraw = True
2.5519 	EXP 	grating: autoDraw = False
2.6908 	DATA 	Keypress: right
2.7029 	EXP 	fixation: autoDraw = False
2.7029 	EXP 	grating: autoDraw = False
2.7029 	EXP 	grating: ori = -11.0
2.7029 	EXP 	fixation: autoDraw = True
3.1207 	DATA 	Keypress: left
3.2027 	INFO 	Keyboard events cleared
3.2019 	EXP 	grating: autoDraw = True
3.2186 	EXP 	fixation: autoDraw = False
3.5025 	EXP 	grating: autoDraw = False
3.5410 	DATA 	Keypress: right
3.5529 	EXP 	fixation: autoDraw = False
3.5529 	EXP 	grating: autoDraw = False
3.5529 	EXP 	grating: ori = 12.0
3.5529 	EXP 	fixation: autoDraw = True
3.9386 	DATA 	Keypress: left
4.0529 	INFO 	Keyboard events cleared
4.0521 	EXP 	fixation: autoDraw = False
4.0521 	EXP 	grating: autoDraw = True
4.3100 	DATA 	Keypress: right
4.3190 	EXP 	fixation: autoDraw = False
4.3190 	EXP 	grating: autoDraw = False
4.3190 	EXP 	grating: ori = -12.0
4.3190 	EXP 	fixation: autoDraw = True
4.6706 	DATA 	Keypress: left
4.8192 	INFO 	Keyboard events cleared
4.8185 	EXP 	fixation: autoDraw = False
4.8185 	EXP 	grating: autoDraw = True
5.0729 	DATA 	Keypress: right
5.0850 	EXP 	fixation: autoDraw = False
5.0850 	EXP 	grating: autoDraw = False
5.0850 	EXP 	grating: ori = -13.0
