stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.038377400022000074,,0.02029050001874566,0.038377400022000074,0.5374891001265496,0.5374891001265496,0.5539917999412864,0.7921758000738919,left,-10.0,1,1,0.23520080000162125,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
1,1,8.0,0.8029583001043648,,0.7923763999715447,0.8029583001043648,1.3046846999786794,1.3046846999786794,1.3046846999786794,2.204143699957058,right,8.0,0,0,0.8922729999758303,1.6169823999516666,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
2,1,9.0,2.2197283001150936,,2.2043691999278963,2.2197283001150936,2.7205596999265254,2.7205596999265254,2.7205596999265254,3.489997999975458,left,-9.0,0,0,0.7596404999494553,3.0207752999849617,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
3,1,10.0,3.5044152999762446,,3.4903663001023233,3.5044152999762446,4.004871499957517,4.004871499957517,4.004871499957517,4.423350000055507,left,-10.0,0,0,0.4031979001592845,4.30461940006353,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
4,1,11.0,4.437570200068876,,4.423662400105968,4.437570200068876,4.9373187001328915,4.9373187001328915,4.9373187001328915,5.140083200065419,right,11.0,0,0,0.18876970000565052,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
5,1,12.0,5.154835500055924,,5.140422600088641,5.154835500055924,5.654155400115997,5.654155400115997,5.671186699997634,6.0228468999266624,right,12.0,1,1,0.3598786999937147,5.953926499933004,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
6,1,12.0,6.037469699978828,,6.023158899974078,6.037469699978828,6.537558899959549,6.537558899959549,6.537558899959549,6.639557500137016,left,-12.0,0,0,0.08906350005418062,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
7,1,13.0,6.654338400112465,,6.639894400024787,6.654338400112465,7.154379799962044,7.154379799962044,7.154379799962044,7.655506100039929,right,13.0,0,0,0.49430350004695356,7.454264600062743,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
8,1,14.0,7.670482299989089,,7.655796800041571,7.670482299989089,8.17113250005059,8.17113250005059,8.17113250005059,8.239726200001314,right,14.0,0,0,0.06364699988625944,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
9,1,15.0,8.25465100002475,,8.240010000066832,8.25465100002475,8.75416380004026,8.75416380004026,8.75416380004026,8.805786000099033,right,15.0,1,1,0.036836500046774745,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
10,1,15.0,8.820304299937561,,8.806162599939853,8.820304299937561,9.320572399999946,9.320572399999946,9.320572399999946,9.922974500106648,right,15.0,0,0,0.59637810010463,9.620400900021195,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
11,1,16.0,9.936805200064555,,9.92327530006878,9.936805200064555,10.437790900003165,10.437790900003165,10.437790900003165,10.622399799991399,left,-16.0,0,0,0.17408040002919734,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
12,1,17.0,10.637546099955216,,10.622776299947873,10.637546099955216,11.137749900110066,11.137749900110066,11.137749900110066,11.538889900082722,left,-17.0,0,0,0.39441270008683205,11.437349800020456,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
13,1,18.0,11.553651900030673,,11.53923080000095,11.553651900030673,12.053718500072137,12.053718500072137,12.053718500072137,12.072365900035948,left,-18.0,1,1,0.006544600008055568,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
14,1,18.0,12.086948200128973,,12.072748699923977,12.086948200128973,12.586903400020674,12.586903400020674,12.586903400020674,13.107240800047293,left,-18.0,1,1,0.5156686999835074,12.888124200049788,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
15,1,18.0,13.121143500087783,,13.107619800139219,13.121143500087783,13.621268300106749,13.621268300106749,13.621268300106749,14.072994099929929,right,18.0,0,0,0.44505429989658296,13.920637800125405,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
16,1,19.0,14.08708170009777,,14.073290500091389,14.08708170009777,14.587185400072485,14.587185400072485,14.587185400072485,14.655886200023815,left,-19.0,1,1,0.052153199911117554,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
17,1,19.0,14.670594400027767,,14.656226099934429,14.670594400027767,15.17041329992935,15.17041329992935,15.17041329992935,15.505570699926466,left,-19.0,1,1,0.3250893000513315,15.470235400134698,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
