10.3866 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
10.4619 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.5152 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD5D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD570>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CDE10>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F629F9DB40>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.5153 	EXP 	window1: backgroundImage = ''
12.5153 	EXP 	window1: backgroundFit = 'none'
12.5156 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.5158 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.5344 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.5349 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.6391 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.6392 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.6401 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.6408 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6263CD6F0>
12.6830 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.6830 	EXP 	window1: recordFrameIntervals = False
12.8339 	EXP 	window1: recordFrameIntervals = True
13.0174 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
13.0174 	EXP 	window1: recordFrameIntervals = False
13.0176 	EXP 	window1: mouseVisible = False
16.7960 	INFO 	keyboard.Keyboard is using iohub backend.
16.7961 	INFO 	keyboard.Keyboard is using iohub backend.
16.7961 	EXP 	stroop task: status = STARTED
16.7964 	EXP 	window1: mouseVisible = False
17.1894 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome', units='height', win=Window(...), wrapWidth=1)
17.1896 	EXP 	window1: mouseVisible = False
17.2324 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
17.2326 	EXP 	window1: mouseVisible = False
17.2670 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
17.2672 	EXP 	window1: mouseVisible = False
17.3000 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thankyou', units='height', win=Window(...), wrapWidth=1)
0.0377 	EXP 	text_2: autoDraw = True
1.0247 	EXP 	Imported C:/Users/kashy/OneDrive/Desktop/cond.xlsx as conditions, 4 conditions, 4 params
1.0310 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'RED', 'colour': 'red', 'stm_condition': 'C', 'correct_res': 'r', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.0525 	EXP 	text_2: autoDraw = False
1.0525 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
1.0525 	EXP 	text: height = 0.05
1.0525 	EXP 	text: height = 0.05
1.0525 	EXP 	text: height = 0.05
1.0525 	EXP 	text: text = 'RED'
1.0525 	EXP 	fixation: autoDraw = True
1.5065 	INFO 	Keyboard events cleared
1.5056 	EXP 	fixation: autoDraw = False
1.5056 	EXP 	text: autoDraw = True
6.0002 	EXP 	text: autoDraw = False
6.3062 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'RED', 'colour': 'blue', 'stm_condition': 'I', 'correct_res': 'b', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
6.3086 	DATA 	Keypress: r
6.3101 	EXP 	fixation: autoDraw = False
6.3101 	EXP 	text: autoDraw = False
6.3101 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
6.3101 	EXP 	text: text = 'RED'
6.3101 	EXP 	fixation: autoDraw = True
6.8175 	INFO 	Keyboard events cleared
