4.2735 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
4.4632 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D87700>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D87760>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D87820>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021F17E94340>, multiSample=False, name='window1', numSamples=2, pos=[268.0, 132.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.4632 	EXP 	window1: backgroundImage = ''
4.4633 	EXP 	window1: backgroundFit = 'none'
4.4634 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4636 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4668 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4680 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4969 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4970 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4975 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.4979 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F20D866E0>
4.5114 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.5114 	EXP 	window1: recordFrameIntervals = False
4.6904 	EXP 	window1: recordFrameIntervals = True
4.8742 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
4.8743 	EXP 	window1: recordFrameIntervals = False
4.8744 	EXP 	window1: mouseVisible = True
4.9128 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
7.3042 	INFO 	keyboard.Keyboard is using iohub backend.
7.3042 	INFO 	keyboard.Keyboard is using iohub backend.
7.3043 	EXP 	Adaptive staircase: status = STARTED
7.3045 	EXP 	window1: mouseVisible = True
7.3081 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
7.3082 	EXP 	window1: mouseVisible = True
7.3113 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0098 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0330 	EXP 	grating: ori = -10.0
0.0330 	EXP 	fixation: autoDraw = True
0.6034 	INFO 	Keyboard events cleared
0.6029 	EXP 	grating: autoDraw = True
0.6029 	EXP 	grating: tex = 'sin'
0.6104 	EXP 	fixation: autoDraw = False
0.9121 	EXP 	grating: autoDraw = False
11.0228 	DATA 	Keypress: right
11.0255 	EXP 	fixation: autoDraw = False
11.0255 	EXP 	grating: autoDraw = False
11.0255 	EXP 	grating: ori = 12.0
11.0255 	EXP 	fixation: autoDraw = True
