stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0383774,,0.0202905,0.0383774,0.5374891,0.5374891,0.5539918,0.7921758,left,-10,1,1,0.2352008,,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
1,1,8,0.8029583,,0.7923764,0.8029583,1.3046847,1.3046847,1.3046847,2.2041437,right,8,0,0,0.892273,1.6169824,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
2,1,9,2.2197283,,2.2043692,2.2197283,2.7205597,2.7205597,2.7205597,3.489998,left,-9,0,0,0.7596405,3.0207753,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
3,1,10,3.5044153,,3.4903663,3.5044153,4.0048715,4.0048715,4.0048715,4.42335,left,-10,0,0,0.4031979,4.3046194,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
4,1,11,4.4375702,,4.4236624,4.4375702,4.9373187,4.9373187,4.9373187,5.1400832,right,11,0,0,0.1887697,,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
5,1,12,5.1548355,,5.1404226,5.1548355,5.6541554,5.6541554,5.6711867,6.0228469,right,12,1,1,0.3598787,5.9539265,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
6,1,12,6.0374697,,6.0231589,6.0374697,6.5375589,6.5375589,6.5375589,6.6395575,left,-12,0,0,0.0890635,,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
7,1,13,6.6543384,,6.6398944,6.6543384,7.1543798,7.1543798,7.1543798,7.6555061,right,13,0,0,0.4943035,7.4542646,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
8,1,14,7.6704823,,7.6557968,7.6704823,8.1711325,8.1711325,8.1711325,8.2397262,right,14,0,0,0.063647,,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
9,1,15,8.254651,,8.24001,8.254651,8.7541638,8.7541638,8.7541638,8.805786,right,15,1,1,0.0368365,,2,1,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.68677576,2024-09-06 13h52.27.270357 +0530
