stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.035309,,0.0176874,0.035309,0.5186421,0.5186421,0.5356927,0.8189116,0.8730587,right,10,0,0,0.3425151,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
1,2,12,0.8852273,,0.8732154,0.8852273,1.3859851,1.3859851,1.3859851,1.6854144,1.8703855,left,-12,0,0,0.4753323,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
2,2,14,1.8853484,,1.8705503,1.8853484,2.3853617,2.3853617,2.3853617,2.6855739,3.136946,left,-14,0,0,0.7461712,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
3,1,16,3.1524538,,3.1370894,3.1524538,3.6524361,3.6524361,3.6524361,,3.7368583,left,-16,1,1,0.0749805,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
4,1,15,3.7522937,,3.7370648,3.7522937,4.2518093,4.2518093,4.2518093,,4.4366287,left,-15,0,0,0.1735865,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
5,1,16,4.4521754,,4.4367846,4.4521754,4.9521069,4.9521069,4.9521069,5.2520941,5.4865207,left,-16,0,0,0.5268027,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
6,1,17,5.5021913,,5.4867294,5.5021913,5.9857484,5.9857484,6.0022741,6.2853411,6.4558545,right,17,1,1,0.4567992,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
7,1,17,6.4704362,,6.4561497,6.4704362,6.970278,6.970278,6.970278,7.2703364,7.4377813,left,-17,0,0,0.4561797,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
8,1,18,7.4529167,,7.4379942,7.4529167,7.937875,7.937875,7.954239,8.2374371,8.3718342,right,18,1,1,0.4188194,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
9,1,18,8.3863468,,8.3722106,8.3863468,8.8861247,8.8861247,8.8861247,9.1866703,9.2388806,right,18,1,1,0.3432637,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
10,0.5,18,9.2537189,,9.2391821,9.2537189,9.7530675,9.7530675,9.7530675,10.0535973,10.3223725,right,18,1,1,0.5538379,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
11,0.5,17.5,10.3371461,,10.322744,10.3371461,10.8370409,10.8370409,10.8370409,11.1368351,11.2386031,left,-17.5,0,0,0.3881902,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
12,0.5,18,11.25365,,11.2389424,11.25365,11.753605,11.753605,11.753605,12.0688218,12.2194069,left,-18,0,0,0.4546521,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
13,0.5,18.5,12.235221,,12.2195625,12.235221,12.7185403,12.7185403,12.7351985,13.0200989,13.0702672,left,-18.5,0,0,0.3457147,4,1,2024-09-06_14h04.04.129,Adaptive staircase,2024.2.1post4,60.7234224,2024-09-06 14h04.12.421584 +0530
