18.4233 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
18.8171 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF26410>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF26470>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF27FD0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027BB963CBE0>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 240.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.8172 	EXP 	window1: backgroundImage = ''
18.8173 	EXP 	window1: backgroundFit = 'none'
18.8176 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8179 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8253 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8267 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8934 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8937 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8951 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.8965 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027BBBF24EB0>
18.9269 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.9270 	EXP 	window1: recordFrameIntervals = False
19.1188 	EXP 	window1: recordFrameIntervals = True
19.2052 	WARNING 	t of last frame was 20.28ms (=1/49)
19.3859 	EXP 	Screen (0) actual frame rate measured at 59.69Hz
19.3860 	EXP 	window1: recordFrameIntervals = False
19.3861 	EXP 	window1: mouseVisible = True
19.4242 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
23.2247 	INFO 	keyboard.Keyboard is using iohub backend.
23.2248 	INFO 	keyboard.Keyboard is using iohub backend.
23.2248 	EXP 	Adaptive staircase: status = STARTED
23.2252 	EXP 	window1: mouseVisible = True
23.2356 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
23.2358 	EXP 	window1: mouseVisible = True
23.2473 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0022 	DATA 	Mouse: Left button down, pos=(350,466)
0.0027 	DATA 	Mouse:  Left button up, pos=(350,466)
0.0198 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0384 	EXP 	grating: ori = -10.0
0.0384 	EXP 	fixation: autoDraw = True
0.5381 	INFO 	Keyboard events cleared
0.5375 	EXP 	grating: autoDraw = True
0.5375 	EXP 	grating: tex = 'sin'
0.5540 	EXP 	fixation: autoDraw = False
0.7947 	DATA 	Keypress: left
0.8030 	EXP 	fixation: autoDraw = False
0.8030 	EXP 	grating: autoDraw = False
0.8030 	EXP 	grating: ori = 8.0
0.8030 	EXP 	fixation: autoDraw = True
1.3055 	INFO 	Keyboard events cleared
