stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03299450012855232,,0.010548199992626905,0.03299450012855232,0.6029114001430571,0.6029114001430571,0.6104020001366735,0.9121398001443595,11.021582100074738,left,-10.0,0,0,10.260133400093764,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
1,1,12.0,11.02545930002816,,11.021730700042099,11.02545930002816,11.528226400027052,11.528226400027052,11.528226400027052,11.828137800097466,11.996580800041556,right,12.0,1,1,0.46549460012465715,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
2,1,11.0,12.011132400017232,,11.996933000162244,12.011132400017232,12.51146459998563,12.51146459998563,12.51146459998563,12.811452600173652,13.096874700160697,left,-11.0,1,1,0.5787390000186861,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
3,1,11.0,13.11173570016399,,13.097229100065306,13.11173570016399,13.61148830014281,13.61148830014281,13.61148830014281,13.911460899980739,14.881496600108221,left,-11.0,0,0,1.2639110998716205,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
4,1,12.0,14.894729900173843,,14.881829000078142,14.894729900173843,15.395234900061041,15.395234900061041,15.395234900061041,15.694720200030133,17.34633220010437,right,12.0,0,0,1.9420712001156062,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
5,1,13.0,17.361272600013763,,17.346693500177935,17.361272600013763,17.860766800120473,17.860766800120473,17.860766800120473,18.160829600179568,18.14914370002225,left,-13.0,0,0,0.2847196999937296,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
6,1,14.0,18.160829600179568,,18.149463000008836,18.160829600179568,18.661615299992263,18.661615299992263,18.661615299992263,18.960839200066403,18.979802899993956,right,14.0,1,1,0.31062160013243556,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
7,1,14.0,18.994428800186142,,18.980095400009304,18.994428800186142,19.49445000011474,19.49445000011474,19.49445000011474,19.79714470007457,20.09603700018488,left,-14.0,0,0,0.5957253000233322,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
8,1,15.0,20.111166900023818,,20.096375999972224,20.111166900023818,20.61096219997853,20.61096219997853,20.61096219997853,20.911593800177798,21.07995739998296,right,15.0,0,0,0.4549622000195086,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
9,1,16.0,21.09468080010265,,21.080609400058165,21.09468080010265,21.594824600033462,21.594824600033462,21.594824600033462,,21.67999009997584,right,16.0,1,1,0.07370489998720586,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
10,1,16.0,21.694823099998757,,21.680280900094658,21.694823099998757,22.194519800134003,22.194519800134003,22.194519800134003,22.494482000125572,22.763603700092062,right,16.0,1,1,0.5523393999319524,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
11,1,16.0,22.77781020011753,,22.76400119997561,22.77781020011753,23.27733530011028,23.27733530011028,23.27733530011028,23.57743600010872,23.69567030016333,right,16.0,0,0,0.4058340999763459,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
12,1,17.0,23.710443299962208,,23.695959700038657,23.710443299962208,24.19383110012859,24.19383110012859,24.21070190006867,24.4941893001087,24.613058400107548,right,17.0,1,1,0.4033468998968601,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
13,1,17.0,24.627682000165805,,24.613429800141603,24.627682000165805,25.127617000136524,25.127617000136524,25.127617000136524,25.427406399976462,25.612620200030506,left,-17.0,1,1,0.4729076998773962,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
14,1,17.0,25.627370900008827,,25.612903299974278,25.627370900008827,26.127261700108647,26.127261700108647,26.127261700108647,26.427504600025713,26.431467400165275,left,-17.0,0,0,0.3007290998939425,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
15,1,18.0,26.44404870015569,,26.43177739996463,26.44404870015569,26.944289000006393,26.944289000006393,26.944289000006393,,27.19625320006162,left,-18.0,1,1,0.24278500000946224,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
16,1,18.0,27.211124600144103,,27.19658050010912,27.211124600144103,27.710697800153866,27.710697800153866,27.710697800153866,28.01069790008478,28.012756100157276,left,-18.0,1,1,0.2912281001918018,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
17,0.5,18.0,28.027511600172147,,28.01315090013668,28.027511600172147,28.527646700153127,28.527646700153127,28.527646700153127,28.82693830016069,28.84695120016113,right,18.0,1,1,0.30973029998131096,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
18,0.5,17.5,28.86036270018667,,28.847243200056255,28.86036270018667,29.361456900136545,29.361456900136545,29.361456900136545,,29.57958500017412,right,17.5,0,0,0.20824790000915527,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
19,0.5,18.0,29.593718100106344,,29.579980100039393,29.593718100106344,30.09413760015741,30.09413760015741,30.09413760015741,30.393721600063145,30.379332500044256,left,-18.0,1,1,0.2754430000204593,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
20,0.5,18.0,30.393721600063145,,30.379804500145838,30.393721600063145,30.894572500139475,30.894572500139475,30.894572500139475,,31.114023000001907,right,18.0,1,1,0.214428799925372,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
21,0.5,18.0,31.127388200024143,,31.114372299984097,31.127388200024143,31.627414300106466,31.627414300106466,31.627414300106466,,31.814345400081947,right,18.0,1,1,0.1840613998938352,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
22,0.5,17.5,31.82721700007096,,31.814650299958885,31.82721700007096,32.328028900083154,32.328028900083154,32.328028900083154,,32.480584900127724,right,17.5,1,1,0.14851529989391565,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
23,0.5,17.5,32.49415459996089,,32.480911400169134,32.49415459996089,32.99411540012807,32.99411540012807,32.99411540012807,,33.196911700069904,left,-17.5,0,0,0.19946029991842806,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
24,0.5,18.0,33.21042670006864,,33.19729689997621,33.21042670006864,33.710414099972695,33.710414099972695,33.710414099972695,,33.91302530001849,right,18.0,0,0,0.19170870003290474,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
25,0.5,18.5,33.9271899999585,,33.91336020012386,33.9271899999585,34.42731840000488,34.42731840000488,34.42731840000488,,34.679710200056434,left,-18.5,1,1,0.24667860008776188,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
26,0.5,18.5,34.694716800004244,,34.68008069996722,34.694716800004244,35.19407030008733,35.19407030008733,35.210496900137514,,35.39628800004721,right,18.5,0,0,0.1934376999270171,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
27,0.5,19.0,35.4106466001831,,35.39670080016367,35.4106466001831,35.91077330010012,35.91077330010012,35.91077330010012,36.21013760007918,36.312428100034595,right,19.0,0,0,0.38878700020723045,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
28,0.5,19.5,36.32733350014314,,36.312722500180826,36.32733350014314,36.82716350001283,36.82716350001283,36.82716350001283,37.126852200133726,37.16321730008349,right,19.5,0,0,0.32982750004157424,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
29,0.5,20.0,37.17798759997822,,37.163618799997494,37.17798759997822,37.67698790016584,37.67698790016584,37.67698790016584,37.97740219999105,38.11218390008435,right,20.0,0,0,0.4266810000408441,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
30,0.5,20.0,38.1272287000902,,38.1124878001865,38.1272287000902,38.62679050001316,38.62679050001316,38.62679050001316,38.926995400106534,39.079391200095415,left,-20.0,0,0,0.4409060999751091,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
31,0.5,20.0,39.09348430018872,,39.07970890006982,39.09348430018872,39.594060600036755,39.594060600036755,39.594060600036755,39.89388280012645,39.99730910011567,right,20.0,1,1,0.39978779992088675,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
32,0.5,20.0,40.01029710005969,,39.9977482999675,40.01029710005969,40.510647600051016,40.510647600051016,40.510647600051016,40.81056640017778,40.89542690012604,right,20.0,0,0,0.37692370009608567,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
33,0.5,20.0,40.9104101001285,,40.895735800033435,40.9104101001285,41.41046959999949,41.41046959999949,41.41046959999949,41.71054690005258,41.861548400018364,right,20.0,0,0,0.4439001998398453,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
34,0.5,20.0,41.87688330002129,,41.86187480017543,41.87688330002129,42.360568900126964,42.360568900126964,42.37699080002494,,42.6138365000952,right,20.0,1,1,0.25076859979890287,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
35,0.5,20.0,42.62674940004945,,42.614162000129,42.62674940004945,43.126671000150964,43.126671000150964,43.126671000150964,,43.17889229999855,left,-20.0,0,0,0.04233690002001822,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
36,0.5,20.0,43.1934907999821,,43.179600700037554,43.1934907999821,43.694381300127134,43.694381300127134,43.694381300127134,,43.778511699987575,right,20.0,0,0,0.07042210013605654,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
37,0.5,20.0,43.79359160014428,,43.77884560008533,43.79359160014428,44.29352180007845,44.29352180007845,44.29352180007845,44.59514270001091,44.84570930013433,left,-20.0,0,0,0.5427475001197308,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
38,0.5,20.0,44.85993420006707,,44.84605329995975,44.85993420006707,45.36036840011366,45.36036840011366,45.36036840011366,45.65983600006439,45.71297150012106,left,-20.0,1,1,0.3492157000582665,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
39,0.5,20.0,45.72699320013635,,45.71329169999808,45.72699320013635,46.226502700010315,46.226502700010315,46.226502700010315,46.5266742000822,46.51145420013927,left,-20.0,0,0,0.27478659991174936,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
40,0.5,20.0,46.5266742000822,,46.51176230004057,46.5266742000822,47.02659120014869,47.02659120014869,47.02659120014869,47.32623260002583,47.362400100100785,right,20.0,0,0,0.3215000000782311,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
41,0.5,20.0,47.37668039998971,,47.36276699998416,47.37668039998971,47.87664659996517,47.87664659996517,47.87664659996517,48.17644010018557,48.178281100001186,right,20.0,1,1,0.28951169992797077,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
42,0.5,20.0,48.19314089999534,,48.17857550014742,48.19314089999534,48.693124199984595,48.693124199984595,48.693124199984595,48.99374180007726,49.7114172000438,left,-20.0,1,1,1.003468100214377,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
43,0.5,20.0,49.726732100127265,,49.71171539998613,49.726732100127265,50.22660370008089,50.22660370008089,50.22660370008089,50.526646400103346,50.82822090014815,left,-20.0,0,0,0.5844487999565899,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
44,0.5,20.0,50.84309240011498,,50.82852300000377,50.84309240011498,51.34307650011033,51.34307650011033,51.34307650011033,51.642930699978024,53.04534940002486,left,-20.0,1,1,1.6876527999993414,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
45,0.5,20.0,53.060260200174525,,53.04565139999613,53.060260200174525,53.56033540004864,53.56033540004864,53.56033540004864,53.86013890011236,54.26208130014129,right,20.0,1,1,0.6952233000192791,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
46,0.5,20.0,54.27656879997812,,54.26241530012339,54.27656879997812,54.777020500041544,54.777020500041544,54.777020500041544,55.07595410011709,55.511471800040454,left,-20.0,1,1,0.7178602002095431,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
47,0.5,19.5,55.52611720003188,,55.51177400001325,55.52611720003188,56.02612660010345,56.02612660010345,56.02612660010345,56.32616479997523,56.761373799992725,right,19.5,1,1,0.7317615998908877,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
48,0.5,19.5,56.776461800094694,,56.76167879998684,56.776461800094694,57.27637530001812,57.27637530001812,57.27637530001812,57.57571980007924,57.97784990002401,right,19.5,0,0,0.6946296999230981,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
49,0.5,20.0,57.992488499963656,,57.978186200140044,57.992488499963656,58.49274320015684,58.49274320015684,58.49274320015684,58.79305710014887,59.045066399965435,left,-20.0,0,0,0.5472676998469979,976913,001,2024-09-06_13h02.37.586,Adaptive staircase,2024.2.1post4,60.003768209453895,2024-09-06 13h02.40.634803 +0530,
