6.1731 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
6.3822 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B36410>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B36470>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B35120>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002250511CB80>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 240.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3822 	EXP 	window1: backgroundImage = ''
6.3822 	EXP 	window1: backgroundFit = 'none'
6.3824 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.3827 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.3858 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.3863 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.4134 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.4136 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.4146 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.4155 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022508B34EB0>
6.4317 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.4317 	EXP 	window1: recordFrameIntervals = False
6.5988 	EXP 	window1: recordFrameIntervals = True
6.7808 	EXP 	Screen (0) actual frame rate measured at 61.39Hz
6.7808 	EXP 	window1: recordFrameIntervals = False
6.7809 	EXP 	window1: mouseVisible = True
6.7972 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
8.8848 	INFO 	keyboard.Keyboard is using iohub backend.
8.8848 	INFO 	keyboard.Keyboard is using iohub backend.
8.8848 	EXP 	Adaptive staircase: status = STARTED
8.8850 	EXP 	window1: mouseVisible = True
8.8887 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
8.8888 	EXP 	window1: mouseVisible = True
8.8922 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0034 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0217 	EXP 	grating: ori = -10.0
0.0217 	EXP 	fixation: autoDraw = True
0.5053 	INFO 	Keyboard events cleared
0.5049 	EXP 	grating: autoDraw = True
0.5049 	EXP 	grating: tex = 'sin'
0.5209 	EXP 	fixation: autoDraw = False
0.8038 	EXP 	grating: autoDraw = False
3.0280 	DATA 	Keypress: left
